Industry,Age_Brackets,Tenure, Employees,Average Basic Salary
A-Agriculture and fishing,<55,0,27,626
A-Agriculture and fishing,<55,0,76,981
A-Agriculture and fishing,<55,0,23,1622
A-Agriculture and fishing,<55,0,16,1431
A-Agriculture and fishing,<55,0,5,1880
A-Agriculture and fishing,<55,0,1,5000
A-Agriculture and fishing,<55,0,27,700
A-Agriculture and fishing,<55,0,12,3683
A-Agriculture and fishing,<55,0,7,909
A-Agriculture and fishing,<55,0,8,963
A-Agriculture and fishing,<55,0,9,2901
A-Agriculture and fishing,<55,0,50,1399
A-Agriculture and fishing,<55,0,40,898
A-Agriculture and fishing,<55,0,2,3600
A-Agriculture and fishing,<55,0,32,883
A-Agriculture and fishing,<55,0,8,1180
A-Agriculture and fishing,<55,0,3,1483
A-Agriculture and fishing,<55,0,12,888
A-Agriculture and fishing,<55,0,7,1600
A-Agriculture and fishing,<55,0,16,903
A-Agriculture and fishing,<55,0,2,5150
A-Agriculture and fishing,<55,0,48,870
A-Agriculture and fishing,<55,0,19,2426
A-Agriculture and fishing,<55,0,3,1267
A-Agriculture and fishing,<55,0,1,30000
A-Agriculture and fishing,<55,0,1,4500
A-Agriculture and fishing,<55,0,19,724
A-Agriculture and fishing,<55,0,24,1166
A-Agriculture and fishing,<55,0,10,1083
A-Agriculture and fishing,<55,0,1,500
A-Agriculture and fishing,<55,0,29,1125
A-Agriculture and fishing,<55,0,23,891
A-Agriculture and fishing,<55,0,2,11500
A-Agriculture and fishing,<55,0,109,780
A-Agriculture and fishing,<55,0,55,1269
A-Agriculture and fishing,<55,0,1,1500
A-Agriculture and fishing,<55,0,27,885
A-Agriculture and fishing,<55,0,7,2271
A-Agriculture and fishing,<55,0,2,4400
A-Agriculture and fishing,<55,0,4,1025
A-Agriculture and fishing,<55,0,2,2325
A-Agriculture and fishing,<55,0,5,4005
A-Agriculture and fishing,<55,0,4,5350
A-Agriculture and fishing,<55,0,50,808
A-Agriculture and fishing,<55,0,8,938
A-Agriculture and fishing,<55,0,14,1014
A-Agriculture and fishing,<55,0,1,4000
A-Agriculture and fishing,<55,0,21,698
A-Agriculture and fishing,<55,0,70,964
A-Agriculture and fishing,<55,0,57,883
A-Agriculture and fishing,<55,0,3,2433
A-Agriculture and fishing,<55,0,7,1429
A-Agriculture and fishing,<55,0,2,2400
A-Agriculture and fishing,<55,0,5,960
A-Agriculture and fishing,<55,0,76,789
A-Agriculture and fishing,<55,0,59,853
A-Agriculture and fishing,<55,0,26,1117
A-Agriculture and fishing,<55,0,2,750
A-Agriculture and fishing,<55,0,17,2200
A-Agriculture and fishing,<55,0,34,1580
A-Agriculture and fishing,<55,0,40,803
A-Agriculture and fishing,<55,0,2,10400
A-Agriculture and fishing,<55,0,4,1681
A-Agriculture and fishing,<55,0,14,1299
A-Agriculture and fishing,<55,0,2,6000
A-Agriculture and fishing,<55,0,1,800
A-Agriculture and fishing,<55,0,1,4000
A-Agriculture and fishing,<55,0,12,2725
A-Agriculture and fishing,<55,0,4,3600
A-Agriculture and fishing,<55,0,5,940
A-Agriculture and fishing,<55,0,45,1006
A-Agriculture and fishing,<55,0,45,1011
A-Agriculture and fishing,<55,0,2,3250
A-Agriculture and fishing,<55,0,6,967
A-Agriculture and fishing,<55,0,15,841
A-Agriculture and fishing,<55,0,38,786
A-Agriculture and fishing,<55,0,5,2450
A-Agriculture and fishing,<55,0,16,988
A-Agriculture and fishing,<55,0,1,1300
A-Agriculture and fishing,<55,0,5,1152
A-Agriculture and fishing,<55,0,1,14000
A-Agriculture and fishing,<55,0,2,2500
A-Agriculture and fishing,<55,0,2,4810
A-Agriculture and fishing,<55,0,18,989
A-Agriculture and fishing,<55,0,22,829
A-Agriculture and fishing,<55,0,11,1696
A-Agriculture and fishing,<55,0,33,770
A-Agriculture and fishing,<55,0,7,1371
A-Agriculture and fishing,<55,0,5,1800
A-Agriculture and fishing,<55,0,2,1220
A-Agriculture and fishing,<55,0,15,854
A-Agriculture and fishing,<55,0,5,940
A-Agriculture and fishing,<55,0,2,3250
A-Agriculture and fishing,<55,0,7,2121
A-Agriculture and fishing,<55,0,45,854
A-Agriculture and fishing,<55,0,3,15400
A-Agriculture and fishing,<55,0,53,921
A-Agriculture and fishing,<55,0,1,1200
A-Agriculture and fishing,<55,0,42,863
A-Agriculture and fishing,<55,0,4,800
A-Agriculture and fishing,<55,0,90,816
A-Agriculture and fishing,<55,0,26,802
A-Agriculture and fishing,<55,0,84,806
A-Agriculture and fishing,<55,1,1,1500
A-Agriculture and fishing,<55,1,248,833
A-Agriculture and fishing,<55,1,20,1795
A-Agriculture and fishing,<55,1,7,3664
A-Agriculture and fishing,<55,1,43,1009
A-Agriculture and fishing,<55,1,4,9950
A-Agriculture and fishing,<55,1,4,925
A-Agriculture and fishing,<55,1,173,824
A-Agriculture and fishing,<55,1,17,3054
A-Agriculture and fishing,<55,1,76,1019
A-Agriculture and fishing,<55,1,3,2667
A-Agriculture and fishing,<55,1,24,5811
A-Agriculture and fishing,<55,1,17,701
A-Agriculture and fishing,<55,1,243,731
A-Agriculture and fishing,<55,1,32,1525
A-Agriculture and fishing,<55,1,186,874
A-Agriculture and fishing,<55,1,13,4563
A-Agriculture and fishing,<55,1,78,976
A-Agriculture and fishing,<55,1,8,2825
A-Agriculture and fishing,<55,1,8,19500
A-Agriculture and fishing,<55,1,84,850
A-Agriculture and fishing,<55,1,16,914
A-Agriculture and fishing,<55,1,5,2062
A-Agriculture and fishing,<55,1,6,6283
A-Agriculture and fishing,<55,1,1,2000
A-Agriculture and fishing,<55,1,237,871
A-Agriculture and fishing,<55,1,44,1651
A-Agriculture and fishing,<55,1,10,2840
A-Agriculture and fishing,<55,1,28,1096
A-Agriculture and fishing,<55,1,30,981
A-Agriculture and fishing,<55,1,151,959
A-Agriculture and fishing,<55,1,86,940
A-Agriculture and fishing,<55,1,48,1066
A-Agriculture and fishing,<55,1,186,867
A-Agriculture and fishing,<55,1,4,3350
A-Agriculture and fishing,<55,1,1,1000
A-Agriculture and fishing,<55,1,20,3666
A-Agriculture and fishing,<55,1,6,14800
A-Agriculture and fishing,<55,1,5,8000
A-Agriculture and fishing,<55,1,71,998
